context,context_act,sys_world_sys_profile,sys_world_usr_profile,usr_world_sys_profile,usr_world_usr_profile,sent,edited_sent,sent_act,different_from_edition,failed_candidates,pick_or_not
[],[],"{'how-are-you': 'init', 'heard-of-the-org': 'yes', 'have-kids': 'init', 'donated-before': 'init', 'want-to-donate': 'yes', 'donation-amount': 'init'}","{'how-are-you': 'init', 'heard-of-the-org': 'init', 'have-kids': 'init', 'donated-before': 'init', 'want-to-donate': 'init', 'donation-amount': 'init'}","{'how-are-you': 'init', 'heard-of-the-org': 'init', 'have-kids': 'init', 'donated-before': 'init', 'want-to-donate': 'init', 'donation-amount': 'init'}","{'how-are-you': 'init', 'heard-of-the-org': 'init', 'have-kids': 'init', 'donated-before': 'init', 'want-to-donate': 'init', 'donation-amount': 'init'}","['Hello!', 'How are you doing today?']","['Hello!', 'How are you doing today?']","['non-strategy', 'greeting-inquiry']",False,False,True
"
"
"[['Hi!', 'How are you doing today?'], ['Hello I am doing ok. How are you?']]","[['non-strategy', 'greeting-inquiry'], [None]]","{'how-are-you': 'init', 'heard-of-the-org': 'yes', 'have-kids': 'init', 'donated-before': 'init', 'want-to-donate': 'yes', 'donation-amount': 'init'}","{'how-are-you': 'good', 'heard-of-the-org': 'init', 'have-kids': 'init', 'donated-before': 'init', 'want-to-donate': 'init', 'donation-amount': 'init'}","{'how-are-you': 'init', 'heard-of-the-org': 'yes', 'have-kids': 'init', 'donated-before': 'init', 'want-to-donate': 'yes', 'donation-amount': 'init'}","{'how-are-you': 'good', 'heard-of-the-org': 'init', 'have-kids': 'init', 'donated-before': 'init', 'want-to-donate': 'init', 'donation-amount': 'init'}","['I am doing well thank you.', 'Have you heard about the charity Save the Children?']","['I am doing well thank you.', 'Have you heard about the charity Save the Children?']","['non-strategy', 'organization-related-inquiry']",False,False,True
"[['Hi!', 'How are you doing today?'], ['Hello I am doing ok. How are you?']]","[['non-strategy', 'greeting-inquiry'], [None]]","{'how-are-you': 'init', 'heard-of-the-org': 'yes', 'have-kids': 'init', 'donated-before': 'init', 'want-to-donate': 'yes', 'donation-amount': 'init'}","{'how-are-you': 'good', 'heard-of-the-org': 'init', 'have-kids': 'init', 'donated-before': 'init', 'want-to-donate': 'init', 'donation-amount': 'init'}","{'how-are-you': 'init', 'heard-of-the-org': 'yes', 'have-kids': 'init', 'donated-before': 'init', 'want-to-donate': 'yes', 'donation-amount': 'init'}","{'how-are-you': 'good', 'heard-of-the-org': 'init', 'have-kids': 'init', 'donated-before': 'init', 'want-to-donate': 'init', 'donation-amount': 'init'}","['I am doing great!', 'Have you heard about Save the Children?']","['I am doing great!', 'Have you heard about Save the Children?']","['non-strategy', 'organization-related-inquiry']",False,False,True
"[['Hi!', 'How are you doing today?'], ['Hello I am doing ok. How are you?']]","[['non-strategy', 'greeting-inquiry'], [None]]","{'how-are-you': 'init', 'heard-of-the-org': 'yes', 'have-kids': 'init', 'donated-before': 'init', 'want-to-donate': 'yes', 'donation-amount': 'init'}","{'how-are-you': 'good', 'heard-of-the-org': 'init', 'have-kids': 'init', 'donated-before': 'init', 'want-to-donate': 'init', 'donation-amount': 'init'}","{'how-are-you': 'init', 'heard-of-the-org': 'yes', 'have-kids': 'init', 'donated-before': 'init', 'want-to-donate': 'yes', 'donation-amount': 'init'}","{'how-are-you': 'good', 'heard-of-the-org': 'init', 'have-kids': 'init', 'donated-before': 'init', 'want-to-donate': 'init', 'donation-amount': 'init'}","[""I'm doing great."", 'Have you heard about the Save the Children organization?']","[""I'm doing great."", 'Have you heard about the Save the Children organization?']","['non-strategy', 'organization-related-inquiry']",False,False,True
"[['Hi!', 'How are you doing today?'], ['Hello I am doing ok. How are you?']]","[['non-strategy', 'greeting-inquiry'], [None]]","{'how-are-you': 'init', 'heard-of-the-org': 'yes', 'have-kids': 'init', 'donated-before': 'init', 'want-to-donate': 'yes', 'donation-amount': 'init'}","{'how-are-you': 'good', 'heard-of-the-org': 'init', 'have-kids': 'init', 'donated-before': 'init', 'want-to-donate': 'init', 'donation-amount': 'init'}","{'how-are-you': 'init', 'heard-of-the-org': 'yes', 'have-kids': 'init', 'donated-before': 'init', 'want-to-donate': 'yes', 'donation-amount': 'init'}","{'how-are-you': 'good', 'heard-of-the-org': 'init', 'have-kids': 'init', 'donated-before': 'init', 'want-to-donate': 'init', 'donation-amount': 'init'}","['I am doing well.', 'I am writing to ask if you would be interested in donating to Save the Children.']","['I am doing well.', 'I am writing to ask if you would be interested in donating to Save the Children.']","['non-strategy', 'non-strategy']",False,False,True
"[['Hi!', 'How are you doing today?'], ['Hello I am doing ok. How are you?']]","[['non-strategy', 'greeting-inquiry'], [None]]","{'how-are-you': 'init', 'heard-of-the-org': 'yes', 'have-kids': 'init', 'donated-before': 'init', 'want-to-donate': 'yes', 'donation-amount': 'init'}","{'how-are-you': 'good', 'heard-of-the-org': 'init', 'have-kids': 'init', 'donated-before': 'init', 'want-to-donate': 'init', 'donation-amount': 'init'}","{'how-are-you': 'init', 'heard-of-the-org': 'yes', 'have-kids': 'init', 'donated-before': 'init', 'want-to-donate': 'yes', 'donation-amount': 'init'}","{'how-are-you': 'good', 'heard-of-the-org': 'init', 'have-kids': 'init', 'donated-before': 'init', 'want-to-donate': 'init', 'donation-amount': 'init'}","['I am doing well.', ""I am in the middle of doing my survey and I'm wondering if you'd like to help?""]","['I am doing well.', ""I am in the middle of doing my survey and I'm wondering if you'd like to help?""]","['non-strategy', 'other-inquiry']",False,False,False
"[['Hi!', 'How are you doing today?'], ['Hello I am doing ok. How are you?']]","[['non-strategy', 'greeting-inquiry'], [None]]","{'how-are-you': 'init', 'heard-of-the-org': 'yes', 'have-kids': 'init', 'donated-before': 'init', 'want-to-donate': 'yes', 'donation-amount': 'init'}","{'how-are-you': 'good', 'heard-of-the-org': 'init', 'have-kids': 'init', 'donated-before': 'init', 'want-to-donate': 'init', 'donation-amount': 'init'}","{'how-are-you': 'init', 'heard-of-the-org': 'yes', 'have-kids': 'init', 'donated-before': 'init', 'want-to-donate': 'yes', 'donation-amount': 'init'}","{'how-are-you': 'good', 'heard-of-the-org': 'init', 'have-kids': 'init', 'donated-before': 'init', 'want-to-donate': 'init', 'donation-amount': 'init'}","['I am doing well.', 'Have you heard of the charity Save the Children?']","['I am doing well.', 'Have you heard of the charity Save the Children?']","['non-strategy', 'organization-related-inquiry']",False,False,True
"[['Hi!', 'How are you doing today?'], ['Hello I am doing ok. How are you?']]","[['non-strategy', 'greeting-inquiry'], [None]]","{'how-are-you': 'init', 'heard-of-the-org': 'yes', 'have-kids': 'init', 'donated-before': 'init', 'want-to-donate': 'yes', 'donation-amount': 'init'}","{'how-are-you': 'good', 'heard-of-the-org': 'init', 'have-kids': 'init', 'donated-before': 'init', 'want-to-donate': 'init', 'donation-amount': 'init'}","{'how-are-you': 'init', 'heard-of-the-org': 'yes', 'have-kids': 'init', 'donated-before': 'init', 'want-to-donate': 'yes', 'donation-amount': 'init'}","{'how-are-you': 'good', 'heard-of-the-org': 'init', 'have-kids': 'init', 'donated-before': 'init', 'want-to-donate': 'init', 'donation-amount': 'init'}","['I am doing well.', 'Have you ever heard of an organization called Save the Children?']","['I am doing well.', 'Have you ever heard of an organization called Save the Children?']","['non-strategy', 'organization-related-inquiry']",False,False,True
"[['Hi!', 'How are you doing today?'], ['Hello I am doing ok. How are you?']]","[['non-strategy', 'greeting-inquiry'], [None]]","{'how-are-you': 'init', 'heard-of-the-org': 'yes', 'have-kids': 'init', 'donated-before': 'init', 'want-to-donate': 'yes', 'donation-amount': 'init'}","{'how-are-you': 'good', 'heard-of-the-org': 'init', 'have-kids': 'init', 'donated-before': 'init', 'want-to-donate': 'init', 'donation-amount': 'init'}","{'how-are-you': 'init', 'heard-of-the-org': 'yes', 'have-kids': 'init', 'donated-before': 'init', 'want-to-donate': 'yes', 'donation-amount': 'init'}","{'how-are-you': 'good', 'heard-of-the-org': 'init', 'have-kids': 'init', 'donated-before': 'init', 'want-to-donate': 'init', 'donation-amount': 'init'}","[""I'm doing well, thank you.""]","[""I'm doing well, thank you.""]",['non-strategy'],False,False,False
"[['Hi!', 'How are you doing today?'], ['Hello I am doing ok. How are you?']]","[['non-strategy', 'greeting-inquiry'], [None]]","{'how-are-you': 'init', 'heard-of-the-org': 'yes', 'have-kids': 'init', 'donated-before': 'init', 'want-to-donate': 'yes', 'donation-amount': 'init'}","{'how-are-you': 'good', 'heard-of-the-org': 'init', 'have-kids': 'init', 'donated-before': 'init', 'want-to-donate': 'init', 'donation-amount': 'init'}","{'how-are-you': 'init', 'heard-of-the-org': 'yes', 'have-kids': 'init', 'donated-before': 'init', 'want-to-donate': 'yes', 'donation-amount': 'init'}","{'how-are-you': 'good', 'heard-of-the-org': 'init', 'have-kids': 'init', 'donated-before': 'init', 'want-to-donate': 'init', 'donation-amount': 'init'}","['I am good.', 'Are you familiar with the organization Save the Children?']","['I am good.', 'Are you familiar with the organization Save the Children?']","['non-strategy', 'organization-related-inquiry']",False,False,True
"[['Hi!', 'How are you doing today?'], ['Hello I am doing ok. How are you?']]","[['non-strategy', 'greeting-inquiry'], [None]]","{'how-are-you': 'init', 'heard-of-the-org': 'yes', 'have-kids': 'init', 'donated-before': 'init', 'want-to-donate': 'yes', 'donation-amount': 'init'}","{'how-are-you': 'good', 'heard-of-the-org': 'init', 'have-kids': 'init', 'donated-before': 'init', 'want-to-donate': 'init', 'donation-amount': 'init'}","{'how-are-you': 'init', 'heard-of-the-org': 'yes', 'have-kids': 'init', 'donated-before': 'init', 'want-to-donate': 'yes', 'donation-amount': 'init'}","{'how-are-you': 'good', 'heard-of-the-org': 'init', 'have-kids': 'init', 'donated-before': 'init', 'want-to-donate': 'init', 'donation-amount': 'init'}",['I am doing good.'],['I am doing good.'],['non-strategy'],False,False,False
"
"
"[['Hi!', 'How are you doing today?'], ['Hello I am doing ok. How are you?'], ['I am doing well.', 'Have you ever heard of an organization called Save the Children?'], ['Yes I have, but can you tell me more about it?']]","[['non-strategy', 'greeting-inquiry'], [None], ['non-strategy', 'organization-related-inquiry'], [None]]","{'how-are-you': 'good', 'heard-of-the-org': 'yes', 'have-kids': 'init', 'donated-before': 'init', 'want-to-donate': 'yes', 'donation-amount': 'init'}","{'how-are-you': 'good', 'heard-of-the-org': 'yes', 'have-kids': 'init', 'donated-before': 'init', 'want-to-donate': 'init', 'donation-amount': 'not_sure'}","{'how-are-you': 'good', 'heard-of-the-org': 'yes', 'have-kids': 'init', 'donated-before': 'init', 'want-to-donate': 'yes', 'donation-amount': 'init'}","{'how-are-you': 'good', 'heard-of-the-org': 'yes', 'have-kids': 'init', 'donated-before': 'init', 'want-to-donate': 'init', 'donation-amount': 'not_sure'}","[""Save the Children is an international non-governmental organization that promotes children's rights, provides relief and helps support children in developing countries.""]","[""Save the Children is an international non-governmental organization that promotes children's rights, provides relief and helps support children in developing countries.""]",['provide-org-facts'],False,False,True
"[['Hi!', 'How are you doing today?'], ['Hello I am doing ok. How are you?'], ['I am doing well.', 'Have you ever heard of an organization called Save the Children?'], ['Yes I have, but can you tell me more about it?']]","[['non-strategy', 'greeting-inquiry'], [None], ['non-strategy', 'organization-related-inquiry'], [None]]","{'how-are-you': 'good', 'heard-of-the-org': 'yes', 'have-kids': 'init', 'donated-before': 'init', 'want-to-donate': 'yes', 'donation-amount': 'init'}","{'how-are-you': 'good', 'heard-of-the-org': 'yes', 'have-kids': 'init', 'donated-before': 'init', 'want-to-donate': 'init', 'donation-amount': 'not_sure'}","{'how-are-you': 'good', 'heard-of-the-org': 'yes', 'have-kids': 'init', 'donated-before': 'init', 'want-to-donate': 'yes', 'donation-amount': 'init'}","{'how-are-you': 'good', 'heard-of-the-org': 'yes', 'have-kids': 'init', 'donated-before': 'init', 'want-to-donate': 'init', 'donation-amount': 'not_sure'}","[""Save the Children is an international non-governmental organization that promotes children's rights, provides relief and helps support children in developing countries.""]","[""Save the Children is an international non-governmental organization that promotes children's rights, provides relief and helps support children in developing countries.""]",['provide-org-facts'],False,False,True
"[['Hi!', 'How are you doing today?'], ['Hello I am doing ok. How are you?'], ['I am doing well.', 'Have you ever heard of an organization called Save the Children?'], ['Yes I have, but can you tell me more about it?']]","[['non-strategy', 'greeting-inquiry'], [None], ['non-strategy', 'organization-related-inquiry'], [None]]","{'how-are-you': 'good', 'heard-of-the-org': 'yes', 'have-kids': 'init', 'donated-before': 'init', 'want-to-donate': 'yes', 'donation-amount': 'init'}","{'how-are-you': 'good', 'heard-of-the-org': 'yes', 'have-kids': 'init', 'donated-before': 'init', 'want-to-donate': 'init', 'donation-amount': 'not_sure'}","{'how-are-you': 'good', 'heard-of-the-org': 'yes', 'have-kids': 'init', 'donated-before': 'init', 'want-to-donate': 'yes', 'donation-amount': 'init'}","{'how-are-you': 'good', 'heard-of-the-org': 'yes', 'have-kids': 'init', 'donated-before': 'init', 'want-to-donate': 'init', 'donation-amount': 'not_sure'}","[""It is an international non-governmental organization that promotes children's rights, provides relief and helps support children in developing countries.""]","[""It is an international non-governmental organization that promotes children's rights, provides relief and helps support children in developing countries.""]",['provide-org-facts'],False,False,True
"[['Hi!', 'How are you doing today?'], ['Hello I am doing ok. How are you?'], ['I am doing well.', 'Have you ever heard of an organization called Save the Children?'], ['Yes I have, but can you tell me more about it?']]","[['non-strategy', 'greeting-inquiry'], [None], ['non-strategy', 'organization-related-inquiry'], [None]]","{'how-are-you': 'good', 'heard-of-the-org': 'yes', 'have-kids': 'init', 'donated-before': 'init', 'want-to-donate': 'yes', 'donation-amount': 'init'}","{'how-are-you': 'good', 'heard-of-the-org': 'yes', 'have-kids': 'init', 'donated-before': 'init', 'want-to-donate': 'init', 'donation-amount': 'not_sure'}","{'how-are-you': 'good', 'heard-of-the-org': 'yes', 'have-kids': 'init', 'donated-before': 'init', 'want-to-donate': 'yes', 'donation-amount': 'init'}","{'how-are-you': 'good', 'heard-of-the-org': 'yes', 'have-kids': 'init', 'donated-before': 'init', 'want-to-donate': 'init', 'donation-amount': 'not_sure'}","[""Save the Children is an international non-governmental organization that promotes children's rights, provides relief and helps support children in developing countries.""]","[""Save the Children is an international non-governmental organization that promotes children's rights, provides relief and helps support children in developing countries.""]",['provide-org-facts'],False,False,True
"[['Hi!', 'How are you doing today?'], ['Hello I am doing ok. How are you?'], ['I am doing well.', 'Have you ever heard of an organization called Save the Children?'], ['Yes I have, but can you tell me more about it?']]","[['non-strategy', 'greeting-inquiry'], [None], ['non-strategy', 'organization-related-inquiry'], [None]]","{'how-are-you': 'good', 'heard-of-the-org': 'yes', 'have-kids': 'init', 'donated-before': 'init', 'want-to-donate': 'yes', 'donation-amount': 'init'}","{'how-are-you': 'good', 'heard-of-the-org': 'yes', 'have-kids': 'init', 'donated-before': 'init', 'want-to-donate': 'init', 'donation-amount': 'not_sure'}","{'how-are-you': 'good', 'heard-of-the-org': 'yes', 'have-kids': 'init', 'donated-before': 'init', 'want-to-donate': 'yes', 'donation-amount': 'init'}","{'how-are-you': 'good', 'heard-of-the-org': 'yes', 'have-kids': 'init', 'donated-before': 'init', 'want-to-donate': 'init', 'donation-amount': 'not_sure'}","[""Save the Children is an international non-governmental organization that promotes children's rights, provides relief and helps support children in developing countries.""]","[""Save the Children is an international non-governmental organization that promotes children's rights, provides relief and helps support children in developing countries.""]",['provide-org-facts'],False,False,True
"[['Hi!', 'How are you doing today?'], ['Hello I am doing ok. How are you?'], ['I am doing well.', 'Have you ever heard of an organization called Save the Children?'], ['Yes I have, but can you tell me more about it?']]","[['non-strategy', 'greeting-inquiry'], [None], ['non-strategy', 'organization-related-inquiry'], [None]]","{'how-are-you': 'good', 'heard-of-the-org': 'yes', 'have-kids': 'init', 'donated-before': 'init', 'want-to-donate': 'yes', 'donation-amount': 'init'}","{'how-are-you': 'good', 'heard-of-the-org': 'yes', 'have-kids': 'init', 'donated-before': 'init', 'want-to-donate': 'init', 'donation-amount': 'not_sure'}","{'how-are-you': 'good', 'heard-of-the-org': 'yes', 'have-kids': 'init', 'donated-before': 'init', 'want-to-donate': 'yes', 'donation-amount': 'init'}","{'how-are-you': 'good', 'heard-of-the-org': 'yes', 'have-kids': 'init', 'donated-before': 'init', 'want-to-donate': 'init', 'donation-amount': 'not_sure'}","[""Save the Children is an international non-governmental organization that promotes children's rights, provides relief and helps support children in developing countries.""]","[""Save the Children is an international non-governmental organization that promotes children's rights, provides relief and helps support children in developing countries.""]",['provide-org-facts'],False,False,True
"[['Hi!', 'How are you doing today?'], ['Hello I am doing ok. How are you?'], ['I am doing well.', 'Have you ever heard of an organization called Save the Children?'], ['Yes I have, but can you tell me more about it?']]","[['non-strategy', 'greeting-inquiry'], [None], ['non-strategy', 'organization-related-inquiry'], [None]]","{'how-are-you': 'good', 'heard-of-the-org': 'yes', 'have-kids': 'init', 'donated-before': 'init', 'want-to-donate': 'yes', 'donation-amount': 'init'}","{'how-are-you': 'good', 'heard-of-the-org': 'yes', 'have-kids': 'init', 'donated-before': 'init', 'want-to-donate': 'init', 'donation-amount': 'not_sure'}","{'how-are-you': 'good', 'heard-of-the-org': 'yes', 'have-kids': 'init', 'donated-before': 'init', 'want-to-donate': 'yes', 'donation-amount': 'init'}","{'how-are-you': 'good', 'heard-of-the-org': 'yes', 'have-kids': 'init', 'donated-before': 'init', 'want-to-donate': 'init', 'donation-amount': 'not_sure'}","[""Save the Children is an international non-governmental organization that promotes children's rights, provides relief and helps support children in developing countries.""]","[""Save the Children is an international non-governmental organization that promotes children's rights, provides relief and helps support children in developing countries.""]",['provide-org-facts'],False,False,True
"[['Hi!', 'How are you doing today?'], ['Hello I am doing ok. How are you?'], ['I am doing well.', 'Have you ever heard of an organization called Save the Children?'], ['Yes I have, but can you tell me more about it?']]","[['non-strategy', 'greeting-inquiry'], [None], ['non-strategy', 'organization-related-inquiry'], [None]]","{'how-are-you': 'good', 'heard-of-the-org': 'yes', 'have-kids': 'init', 'donated-before': 'init', 'want-to-donate': 'yes', 'donation-amount': 'init'}","{'how-are-you': 'good', 'heard-of-the-org': 'yes', 'have-kids': 'init', 'donated-before': 'init', 'want-to-donate': 'init', 'donation-amount': 'not_sure'}","{'how-are-you': 'good', 'heard-of-the-org': 'yes', 'have-kids': 'init', 'donated-before': 'init', 'want-to-donate': 'yes', 'donation-amount': 'init'}","{'how-are-you': 'good', 'heard-of-the-org': 'yes', 'have-kids': 'init', 'donated-before': 'init', 'want-to-donate': 'init', 'donation-amount': 'not_sure'}","[""Save the Children is an international non-governmental organization that promotes children's rights, provides relief and helps support children in developing countries.""]","[""Save the Children is an international non-governmental organization that promotes children's rights, provides relief and helps support children in developing countries.""]",['provide-org-facts'],False,False,True
"[['Hi!', 'How are you doing today?'], ['Hello I am doing ok. How are you?'], ['I am doing well.', 'Have you ever heard of an organization called Save the Children?'], ['Yes I have, but can you tell me more about it?']]","[['non-strategy', 'greeting-inquiry'], [None], ['non-strategy', 'organization-related-inquiry'], [None]]","{'how-are-you': 'good', 'heard-of-the-org': 'yes', 'have-kids': 'init', 'donated-before': 'init', 'want-to-donate': 'yes', 'donation-amount': 'init'}","{'how-are-you': 'good', 'heard-of-the-org': 'yes', 'have-kids': 'init', 'donated-before': 'init', 'want-to-donate': 'init', 'donation-amount': 'not_sure'}","{'how-are-you': 'good', 'heard-of-the-org': 'yes', 'have-kids': 'init', 'donated-before': 'init', 'want-to-donate': 'yes', 'donation-amount': 'init'}","{'how-are-you': 'good', 'heard-of-the-org': 'yes', 'have-kids': 'init', 'donated-before': 'init', 'want-to-donate': 'init', 'donation-amount': 'not_sure'}","[""Save the Children is an international non-governmental organization that promotes children's rights, provides relief and helps support children in developing countries.""]","[""Save the Children is an international non-governmental organization that promotes children's rights, provides relief and helps support children in developing countries.""]",['provide-org-facts'],False,False,True
"[['Hi!', 'How are you doing today?'], ['Hello I am doing ok. How are you?'], ['I am doing well.', 'Have you ever heard of an organization called Save the Children?'], ['Yes I have, but can you tell me more about it?']]","[['non-strategy', 'greeting-inquiry'], [None], ['non-strategy', 'organization-related-inquiry'], [None]]","{'how-are-you': 'good', 'heard-of-the-org': 'yes', 'have-kids': 'init', 'donated-before': 'init', 'want-to-donate': 'yes', 'donation-amount': 'init'}","{'how-are-you': 'good', 'heard-of-the-org': 'yes', 'have-kids': 'init', 'donated-before': 'init', 'want-to-donate': 'init', 'donation-amount': 'not_sure'}","{'how-are-you': 'good', 'heard-of-the-org': 'yes', 'have-kids': 'init', 'donated-before': 'init', 'want-to-donate': 'yes', 'donation-amount': 'init'}","{'how-are-you': 'good', 'heard-of-the-org': 'yes', 'have-kids': 'init', 'donated-before': 'init', 'want-to-donate': 'init', 'donation-amount': 'not_sure'}","[""Save the Children is an international non-governmental organization that promotes children's rights, provides relief and helps support children in developing countries.""]","[""Save the Children is an international non-governmental organization that promotes children's rights, provides relief and helps support children in developing countries.""]",['provide-org-facts'],False,False,True
"
"
